0.853 {'idx': 'neg_a', 'thr': 4, 'blur': 2, 'close': 0, 'open': 0, 'half': 0.3, 'minA': 0.19} [(0.816, 0.838, 381), (0.88, 0.882, 259)]
0.845 {'idx': 'neg_a', 'thr': 4, 'blur': 2, 'close': 5, 'open': 0, 'half': 0.3, 'minA': 0.19} [(0.816, 0.807, 359), (0.88, 0.873, 246)]
0.840 {'idx': 'neg_a', 'thr': 4, 'blur': 0, 'close': 5, 'open': 0, 'half': 0.3, 'minA': 0.19} [(0.807, 0.816, 371), (0.868, 0.874, 248)]
0.825 {'idx': 'neg_a', 'thr': 4, 'blur': 4, 'close': 0, 'open': 0, 'half': 0.3, 'minA': 0.19} [(0.793, 0.781, 351), (0.854, 0.872, 242)]
0.822 {'idx': 'neg_a', 'thr': 4, 'blur': 0, 'close': 0, 'open': 0, 'half': 0.3, 'minA': 0.19} [(0.788, 0.811, 402), (0.851, 0.84, 263)]
0.817 {'idx': 'neg_a', 'thr': 4, 'blur': 4, 'close': 5, 'open': 0, 'half': 0.3, 'minA': 0.19} [(0.792, 0.752, 330), (0.852, 0.867, 238)]
0.795 {'idx': 'neg_a', 'thr': 4, 'blur': 2, 'close': 9, 'open': 0, 'half': 0.3, 'minA': 0.19} [(0.803, 0.643, 288), (0.875, 0.813, 219)]
0.791 {'idx': 'neg_a', 'thr': 6, 'blur': 2, 'close': 9, 'open': 0, 'half': 0.3, 'minA': 0.19} [(0.724, 0.772, 350), (0.819, 0.868, 240)]
0.786 {'idx': 'neg_a', 'thr': 4, 'blur': 4, 'close': 9, 'open': 0, 'half': 0.3, 'minA': 0.19} [(0.783, 0.647, 296), (0.848, 0.834, 219)]
0.784 {'idx': 'neg_a', 'thr': 4, 'blur': 0, 'close': 9, 'open': 0, 'half': 0.3, 'minA': 0.19} [(0.791, 0.605, 275), (0.87, 0.825, 217)]
0.784 {'idx': 'neg_a', 'thr': 6, 'blur': 2, 'close': 13, 'open': 0, 'half': 0.3, 'minA': 0.19} [(0.744, 0.705, 296), (0.828, 0.854, 220)]
0.783 {'idx': 'neg_a', 'thr': 6, 'blur': 0, 'close': 9, 'open': 0, 'half': 0.3, 'minA': 0.19} [(0.722, 0.767, 339), (0.8, 0.865, 239)]
0.774 {'idx': 'neg_a', 'thr': 2, 'blur': 0, 'close': 0, 'open': 0, 'half': 0.3, 'minA': 0.19} [(0.762, 0.657, 332), (0.847, 0.799, 242)]
0.760 {'idx': 'neg_a', 'thr': 6, 'blur': 0, 'close': 13, 'open': 0, 'half': 0.3, 'minA': 0.19} [(0.744, 0.648, 286), (0.819, 0.807, 210)]
0.756 {'idx': 'neg_a', 'thr': 6, 'blur': 2, 'close': 5, 'open': 0, 'half': 0.3, 'minA': 0.19} [(0.695, 0.73, 382), (0.8, 0.809, 261)]
